Bed Room,BHK,Place,Price,Sq Ft,Dealer Type
2,BHK,Kolkata,62.37,945,Broker
2,BHK,Kolkata,79.56,1170,Broker
3,BHK,Kolkata,75,1090,Broker
3,BHK,Kolkata,62.67,1177,Broker
2,BHK,Kolkata,77.02,983,Broker
2,BHK,Kolkata,19.88,738,Broker
2,BHK,Kolkata,16.7,620,Broker
1,BHK,Kolkata,12.56,466,Broker
3,BHK,Kolkata,25.11,932,Broker
1,BHK,Kolkata,27,600,Broker
3,BHK,Kolkata,36,1200,Broker
4,BHK,Kolkata,50.23,1322,Broker
4,BHK,Kolkata,50.23,1322,Broker
3,BHK,Kolkata,34.12,898,Broker
3,BHK,Kolkata,46.2,2100,Broker
3,BHK,Kolkata,25.3,1150,Broker
2,BHK,Kolkata,23.19,773,Broker
2,BHK,Kolkata,31,807,Broker
4,BHK,Kolkata,98.8,1453,Broker
3,BHK,Kolkata,75,954,Broker
2,BHK,Kolkata,22.35,745,Broker
1,BHK,Kolkata,10.92,420,Broker
2,BHK,Kolkata,18.7,850,Broker
3,BHK,Kolkata,30.56,1278,Broker
2,BHK,Kolkata,22.7,949,Broker
2,BHK,Kolkata,24.12,928,Broker
2,BHK,Kolkata,24.12,928,Broker
3,BHK,Kolkata,72.81,1281,Broker
3,BHK,Kolkata,25.3,1150,Broker
2,BHK,Kolkata,18.7,850,Broker
3,BHK,Kolkata,46.2,2100,Broker
3,BHK,Kolkata,50.7,1014,Broker
2,BHK,Kolkata,24.99,833,Broker
3,BHK,Kolkata,95,1424,Broker
2,BHK,Kolkata,59.52,1240,Broker
3,BHK,Kolkata,58.64,1086,Broker
1,BHK,Kolkata,17.48,437,Broker
1,BHK,Kolkata,19.44,432,Broker
2,BHK,Kolkata,38.43,854,Broker
1,BHK,Kolkata,19.44,432,Broker
1,BHK,Kolkata,19.32,483,Broker
3,BHK,Kolkata,37.64,1090,Broker
2,BHK,Kolkata,22.35,745,Broker
3,BHK,Kolkata,36,1200,Broker
4,BHK,Kolkata,50.23,1322,Broker
2,BHK,Kolkata,48,1200,Broker
2,BHK,Kolkata,71,1033,Broker
1,BHK,Kolkata,12.9,659,Broker
2,BHK,Kolkata,75,954,Broker
2,BHK,Kolkata,42,880,Broker
3,BHK,Kolkata,44.8,1120,Broker
2,BHK,Kolkata,31.2,780,Broker
2,BHK,Kolkata,25.42,765,Broker
2,BHK,Kolkata,16.7,620,Broker
1,BHK,Kolkata,12.56,466,Broker
2,BHK,Kolkata,16.7,620,Broker
